num_elements	approx
85	-1.3806181578
86	-1.3802494761
87	-1.3798854551
88	-1.3795281621
90	-1.3788306611
91	-1.3784983051
92	-1.3781851926
93	-1.3778754016
95	-1.3772868766
96	-1.3770385818
97	-1.3767838934
98	-1.3765340364
100	-1.3761176793
101	-1.3759275926
103	-1.3755866867
104	-1.3754139449
106	-1.3751795017
107	-1.3750971411
108	-1.3750504665
109	-1.3750051297
111	-1.3749551247
112	-1.3750577308
113	-1.3750869860
114	-1.3751183450
116	-1.3752909317
117	-1.3753955574
118	-1.3755013710
119	-1.3756435541
121	-1.3759352760
122	-1.3761152206
124	-1.3765871613
125	-1.3768396731
127	-1.3773799147
128	-1.3778460473
129	-1.3781682402
130	-1.3784890147
132	-1.3792413147
133	-1.3796319133
134	-1.3800203116
135	-1.3804442845
137	-1.3812891995
138	-1.3817431759
139	-1.3822320676
140	-1.3827584069
142	-1.3837945801
143	-1.3843450411
145	-1.3855930674
146	-1.3861683519
148	-1.3874216168
149	-1.3880584640
150	-1.3886905597
151	-1.3893551677
153	-1.3906736886
154	-1.3913603136
155	-1.3920785561
156	-1.3928310373
158	-1.3943126672
159	-1.3950813441
160	-1.3956960761
161	-1.3964900128
163	-1.3980954285
164	-1.3989454517
166	-1.4006197578
167	-1.4014825509
169	-1.4031922128
171	-1.4037738410
174	-1.4028969533
176	-1.4023245522
179	-1.4014856354
181	-1.4009400597
184	-1.4001562898
187	-1.3994004428
190	-1.3986794157
192	-1.3982326561
195	-1.3975788164
198	-1.3969643787
201	-1.3964022421
203	-1.3960485077
206	-1.3955509611
209	-1.3950844929
212	-1.3946786956
214	-1.3944377736
217	-1.3941220511
219	-1.3939333339
222	-1.3936839956
224	-1.3935936065
227	-1.3934259471
230	-1.3933015275
233	-1.3932374814
235	-1.3932156549
238	-1.3932151766
241	-1.3932404099
244	-1.3933314662
246	-1.3934217039
249	-1.3936021151
252	-1.3938118764
255	-1.3940695631
257	-1.3943467145
260	-1.3946704417
262	-1.3949142629
265	-1.3953227359
267	-1.3956122887
270	-1.3960734927
273	-1.3965528039
276	-1.3970933161
278	-1.3974797525
281	-1.3980993317
284	-1.3987410245
287	-1.3994238414
289	-1.3999522212
292	-1.4006899614
295	-1.4014670276
298	-1.4022942898
300	-1.4028462358
303	-1.4037133139
305	-1.4042855222
308	-1.4052026169
310	-1.4058360816
313	-1.4068202646
316	-1.4078200613
319	-1.4088539216
321	-1.4094782989
324	-1.4105573138
327	-1.4116687179
330	-1.4128230717
332	-1.4135902533
335	-1.4147741832
338	-1.4159648409
341	-1.4171921052
346	-1.4162967429
351	-1.4154192167
356	-1.4145624628
362	-1.4135622983
367	-1.4127572263
372	-1.4119813135
377	-1.4112288984
383	-1.4103665948
388	-1.4096879750
393	-1.4090323322
398	-1.4084109571
404	-1.4077139492
409	-1.4071633439
415	-1.4065505639
420	-1.4060706929
426	-1.4055455057
431	-1.4051499418
436	-1.4047946092
441	-1.4044648935
447	-1.4041189905
452	-1.4038936826
457	-1.4036747850
462	-1.4034935250
468	-1.4033285603
473	-1.4032190768
478	-1.4031466385
483	-1.4030966768
489	-1.4030918726
494	-1.4031255539
500	-1.4032165739
505	-1.4033176000
511	-1.4034849531
516	-1.4037008109
521	-1.4039013241
526	-1.4041357837
532	-1.4044647934
537	-1.4047611426
542	-1.4050901723
547	-1.4054360827
553	-1.4059008472
558	-1.4063204243
563	-1.4067739933
568	-1.4072457114
574	-1.4078496252
579	-1.4084082595
585	-1.4090780444
590	-1.4096655757
596	-1.4104114175
601	-1.4110493860
606	-1.4117147769
611	-1.4123920202
617	-1.4132474135
622	-1.4139868021
627	-1.4147549341
632	-1.4155363967
638	-1.4165052366
643	-1.4172954685
648	-1.4181449250
653	-1.4190179314
659	-1.4200959620
664	-1.4210093920
670	-1.4221335049
675	-1.4230798371
681	-1.4242514414
691	-1.4235617146
702	-1.4224993512
712	-1.4215571275
723	-1.4205481480
733	-1.4196590455
744	-1.4187151855
755	-1.4178049341
766	-1.4169331486
776	-1.4161775522
787	-1.4153799843
798	-1.4146245779
809	-1.4139132365
819	-1.4132999452
830	-1.4126677043
841	-1.4120750083
852	-1.4115277063
862	-1.4110699738
873	-1.4106106879
883	-1.4102267483
894	-1.4098477997
904	-1.4095532298
915	-1.4092549710
926	-1.4090015301
937	-1.4087939984
947	-1.4086372252
958	-1.4085068172
969	-1.4084127978
980	-1.4083628054
990	-1.4083550773
1001	-1.4083879869
1012	-1.4084547241
1023	-1.4085632125
1033	-1.4087160369
1044	-1.4088949664
1054	-1.4090928012
1065	-1.4093489829
1075	-1.4096082994
1086	-1.4099300690
1097	-1.4102817490
1108	-1.4106715163
1118	-1.4110582015
1129	-1.4115189966
1140	-1.4120069556
1151	-1.4125302094
1161	-1.4130473835
1172	-1.4136286601
1183	-1.4142435989
1194	-1.4148926996
1204	-1.4155026292
1215	-1.4162046905
1225	-1.4168624594
1236	-1.4176167231
1246	-1.4183291323
1257	-1.4191421056
1268	-1.4199761008
1279	-1.4208390610
1289	-1.4216262563
1300	-1.4225359242
1311	-1.4234730848
1322	-1.4244383005
1332	-1.4253307628
1343	-1.4263378871
1354	-1.4273630613
1365	-1.4284133734
1386	-1.4273284427
1407	-1.4262670018
1428	-1.4252319336
1450	-1.4241778301
1471	-1.4232035358
1492	-1.4222625708
1513	-1.4213545225
1535	-1.4204419884
1556	-1.4196100621
1577	-1.4188134465
1598	-1.4180560629
1620	-1.4173056851
1641	-1.4166279030
1663	-1.4159617242
1684	-1.4153652280
1706	-1.4147845134
1727	-1.4142728369
1748	-1.4138031201
1769	-1.4133712612
1791	-1.4129633927
1812	-1.4126213212
1833	-1.4123118608
1854	-1.4120434057
1876	-1.4118061345
1897	-1.4116168059
1918	-1.4114675499
1939	-1.4113540393
1961	-1.4112773701
1982	-1.4112438299
2004	-1.4112502374
2025	-1.4112907718
2047	-1.4113734486
2068	-1.4114992823
2089	-1.4116483848
2110	-1.4118335582
2132	-1.4120660382
2153	-1.4123192439
2174	-1.4126070212
2195	-1.4129246157
2217	-1.4132934739
2238	-1.4136792044
2259	-1.4140978102
2280	-1.4145439225
2302	-1.4150449443
2323	-1.4155602967
2345	-1.4161228761
2366	-1.4166904045
2388	-1.4173169183
2409	-1.4179400434
2430	-1.4185916637
2451	-1.4192671366
2473	-1.4200044856
2494	-1.4207358500
2515	-1.4214941785
2536	-1.4222742589
2558	-1.4231189145
2579	-1.4239397123
2600	-1.4247926869
2621	-1.4256700003
2643	-1.4266148550
2664	-1.4275366608
2686	-1.4285269729
2707	-1.4294914785
2729	-1.4305259283
2771	-1.4294861588
2814	-1.4283705493
2856	-1.4273081846
2899	-1.4262506622
2941	-1.4252496893
2984	-1.4242596794
3027	-1.4233054970
3070	-1.4223895003
3112	-1.4215332898
3155	-1.4206950767
3198	-1.4198981174
3241	-1.4191432367
3283	-1.4184454442
3326	-1.4177734442
3369	-1.4171431991
3412	-1.4165561819
3454	-1.4160248381
3497	-1.4155239775
3539	-1.4150748481
3582	-1.4146578801
3624	-1.4142947155
3667	-1.4139609379
3710	-1.4136698353
3753	-1.4134212327
3795	-1.4132168684
3838	-1.4130487898
3881	-1.4129199465
3924	-1.4128318038
3966	-1.4127846826
4009	-1.4127759710
4052	-1.4128043284
4095	-1.4128715750
4137	-1.4129787693
4180	-1.4131190944
4222	-1.4132922245
4265	-1.4135059714
4307	-1.4137474429
4350	-1.4140299619
4393	-1.4143455210
4436	-1.4146956252
4478	-1.4150705216
4521	-1.4154876387
4564	-1.4159353501
4607	-1.4164155349
4649	-1.4169180659
4692	-1.4174585692
4735	-1.4180299421
4778	-1.4186318177
4820	-1.4192461073
4863	-1.4199040327
4905	-1.4205723717
4948	-1.4212845401
4990	-1.4220070066
5033	-1.4227738008
5076	-1.4235650818
5119	-1.4243827094
5161	-1.4252006593
5204	-1.4260668471
5247	-1.4269579742
5290	-1.4278737479
5332	-1.4287891584
5375	-1.4297497286
5418	-1.4307314609
5461	-1.4317358164
5546	-1.4305934710
5631	-1.4294763980
5716	-1.4283874296
5802	-1.4273165911
5887	-1.4262911440
5972	-1.4253003579
6057	-1.4243452922
6143	-1.4234172115
6228	-1.4225390647
6313	-1.4216997754
6398	-1.4209009409
6484	-1.4201345742
6569	-1.4194181589
6655	-1.4187360262
6740	-1.4181035729
6826	-1.4175067185
6911	-1.4169595358
6996	-1.4164548884
7081	-1.4159916597
7167	-1.4155660146
7252	-1.4151888471
7337	-1.4148513339
7422	-1.4145554048
7508	-1.4142980468
7593	-1.4140837160
7678	-1.4139099163
7763	-1.4137752280
7849	-1.4136792850
7934	-1.4136239123
8020	-1.4136074046
8105	-1.4136284157
8191	-1.4136881260
8276	-1.4137868555
8361	-1.4139189818
8446	-1.4140873523
8532	-1.4142941288
8617	-1.4145326815
8702	-1.4148058956
8787	-1.4151121601
8873	-1.4154561539
8958	-1.4158293991
9043	-1.4162352304
9128	-1.4166718451
9214	-1.4171456164
9299	-1.4176463247
9385	-1.4181813714
9470	-1.4187402595
9556	-1.4193356973
9641	-1.4199520359
9726	-1.4205967523
9811	-1.4212682797
9897	-1.4219755223
9982	-1.4227015781
10067	-1.4234541147
10152	-1.4242314072
10238	-1.4250437561
10323	-1.4258689815
10408	-1.4267205135
10493	-1.4275961565
10579	-1.4285062193
10664	-1.4294279194
10750	-1.4303836548
10835	-1.4313497664
10921	-1.4323495277
11091	-1.4312170893
11262	-1.4300849857
11432	-1.4289878844
11603	-1.4279152714
11773	-1.4268819145
11944	-1.4258775474
12115	-1.4249096774
12286	-1.4239799082
12456	-1.4230945865
12627	-1.4222437269
12798	-1.4214338590
12969	-1.4206656297
13139	-1.4199432330
13310	-1.4192589414
13481	-1.4186170129
13652	-1.4180179229
13822	-1.4174649240
13993	-1.4169515297
14163	-1.4164831387
14334	-1.4160546092
14504	-1.4156713490
14675	-1.4153268957
14846	-1.4150244449
15017	-1.4147637011
